Frequency       Specific_Flux_Density
# Shifted to 64km/s   #mean in elliptical region shown in Corby et al. (2015), MNRAS
(MHz)	        (mJy_arcsec^{-2}) 

29825.48045532  -0.03798132 
29826.48066932  -0.02656432 
29827.48088232  0.04611132 
29828.48109632  0.02257632 
29829.48130932  -0.02253532 
29830.48152332  0.11899932 
29831.48173632  -0.02401132 
29832.48195032  0.02811232 
29833.48216332  -0.05441532 
29834.48237732  0.09770432 
29835.48259132  -0.13217032 
29836.48085132  0.07972832 
29837.48106432  0.02111032 
29838.48127832  0.05250332 
29839.48149132  -0.01550832 
29840.48170532  -0.01171132 
29841.48191832  -0.02516532 
29842.48213232  0.00152932 
29843.48234532  0.07768432 
29844.48255932  -0.13247232 
29845.48277232  -0.09888132 
29846.48298632  -0.05847332 
29847.48319932  -0.03648832 
29848.48341332  -0.08790532 
29849.48362632  -0.03536432 
29850.48384032  -0.07308732 
29851.48210032  0.07077132 
29852.48231332  0.10699632 
29853.48252732  0.21753532 
29854.48274032  0.05057332 
29855.48295432  -0.01874732 
29856.48316832  -0.08087732 
29857.48338132  -0.14300932 
29858.48359532  -0.00965132 
29859.48380832  -0.06548532 
29860.48402232  0.06119532 
29861.48423532  0.01164732 
29862.48444932  0.11673032 
29863.48466232  0.12829632 
29864.48487632  0.03466532 
29865.48508932  0.05120432 
29866.48334932  0.19645632 
29867.48356332  0.18204532 
29868.48377632  0.09938832 
29869.48399032  0.07235232 
29870.48420332  0.05067332 
29871.48441732  0.04044232 
29872.48463032  0.07930832 
29873.48484432  0.08748132 
29874.48505732  0.08949032 
29875.48527132  0.11297432 
29876.48548532  0.03288532 
29877.48569832  -0.04569032 
29878.48591232  -0.06023632 
29879.48612532  -0.05056032 
29880.48633932  0.06642832 
29881.48459932  -0.04161232 
29882.48481232  0.06181632 
29883.48502632  -0.01238432 
29884.48523932  0.11540732 
29885.48545332  0.12658532 
29886.48566632  0.08337732 
29887.48588032  -0.05840532 
29888.48609332  0.03457932 
29889.48630732  0.00837632 
29890.48652032  -0.00764832 
29891.48673432  -0.04632332 
29892.48694732  0.09290632 
29893.48716132  0.03865332 
29894.48737432  -0.02332132 
29895.48758832  0.14028332 
29896.48584832  0.03420632 
29897.48606132  -0.04571132 
29898.48627532  -0.10403032 
29899.48648932  -0.14880832 
29900.48670232  -0.35801632 
