29.91449:NH3:11(11)0a-11(11)0s
30.00158:SO:1(0)-0(1)
31.42494:NH3:12(12)0a-12(12)0s
32.6273:l-C3Hv=0:2P1/2J=3/2-1/2,F=2-1f
32.66065:l-C3Hv=0:2P1/2J=3/2-1/2,F=2-1e
33.15685:NH3:13(13)0a-13(13)0s
33.75137:CCS:3,2-2,1
35.1343:NH3:14(14)0a-14(14)0s
35.267408:H13CCCN:4-3
36.39236:HC3N:J=4-3,F=5-4
36.79557:CH3CN:2(0)-1(0),F=2-1
37.38502:CH3OCHO:3(2,1)-2(2,1)E
37.46417:CH3CHO:2(1,2)-1(1,1) A
38.506035:CH3CHO:2(0,2)-1(0,1)E
38.51211:CH3CHO:2(0,2)-1(0,1)A
38.86642:CCS:N=3-2, J=3-2
39.3625:CH3CHO:2(1,1)-1(1,0) E
39.59429:CH3CHO:2(1,1)-1(1,0) A
40.875441:NH2CHO:2(1,2)-1(1,1)
42.37334:30SiO:(1-0)
42.38606:NH2CHO:2(0,2)-1(0,1) 
42.67419:HCS+:(1-0)
42.87994:29SiO:(1-0)
43.42385:SiO:(1-0)
43.954454:NH2CHO:2(1,1)-1(1,0)
44.97954:l-C3H+ :(2-1)
45.49034:HC3N:J=5-4,F=6-5
46.24756:13CS:(1-0)
46.755621:cC3H2:2(1,1)-2(0,2)
48.20696:C34S:(1-0)
48.28452:H2CO:4(1,3)-4(1,4)
48.28452:H2CO:4(1,3)-4(1,4)
48.37246:CH3OH:1(0,1)-0(0,0)++
48.99095:CS:(1-0)
