Species:Chemical Name:Freq-GHz:Resolved<br>QNs:Linelist
H&epsilon;:Hydrogen Recombination Line:41.60524:H(90)&epsilon;:Recomb
H&beta;:Hydrogen Recombination Line:41.84655:H(67)&beta;:Recomb
He&beta;:Helium Recombination Line:41.8636:He(67)&beta;:Recomb
H&zeta;:Hydrogen Recombination Line:42.00064:H(95)&zeta;:Recomb
H&gamma;:Hydrogen Recombination Line:42.41409:H(76)&gamma;:Recomb
H&delta;:Hydrogen Recombination Line:42.8798:H(83)&delta;:Recomb
H&alpha;:Hydrogen Recombination Line:42.95197:H(53)&alpha;:Recomb
He&alpha;:Helium Recombination Line:42.96947:He(53)&alpha;:Recomb
H&epsilon;:Hydrogen Recombination Line:42.98569:H(89)&epsilon;:Recomb
H&zeta;:Hydrogen Recombination Line:43.31475:H(94)&zeta;:Recomb
H&beta;:Hydrogen Recombination Line:43.74895:H(66)&beta;:Recomb
He&beta;:Helium Recombination Line:43.76678:He(66)&beta;:Recomb
H&gamma;:Hydrogen Recombination Line:44.10009:H(75)&gamma;:Recomb
H&epsilon;:Hydrogen Recombination Line:44.42791:H(88)&epsilon;:Recomb
H&delta;:Hydrogen Recombination Line:44.43071:H(82)&delta;:Recomb
H&zeta;:Hydrogen Recombination Line:44.68428:H(93)&zeta;:Recomb
H&alpha;:Hydrogen Recombination Line:45.45372:H(52)&alpha;:Recomb
He&alpha;:Helium Recombination Line:45.47224:He(52)&alpha;:Recomb
H&beta;:Hydrogen Recombination Line:45.76844:H(65)&beta;:Recomb
He&beta;:Helium Recombination Line:45.7871:He(65)&beta;:Recomb
H&gamma;:Hydrogen Recombination Line:45.87667:H(74)&gamma;:Recomb
H&epsilon;:Hydrogen Recombination Line:45.93539:H(87)&epsilon;:Recomb
H&delta;:Hydrogen Recombination Line:46.05733:H(81)&delta;:Recomb
H&zeta;:Hydrogen Recombination Line:46.11217:H(92)&zeta;:Recomb
H&epsilon;:Hydrogen Recombination Line:47.51187:H(86)&epsilon;:Recomb
H&zeta;:Hydrogen Recombination Line:47.60158:H(91)&zeta;:Recomb
H&gamma;:Hydrogen Recombination Line:47.74998:H(73)&gamma;:Recomb
H&delta;:Hydrogen Recombination Line:47.76435:H(80)&delta;:Recomb
H&beta;:Hydrogen Recombination Line:47.91418:H(64)&beta;:Recomb
He&beta;:Helium Recombination Line:47.93371:He(64)&beta;:Recomb
H&alpha;:Hydrogen Recombination Line:48.1536:H(51)&alpha;:Recomb
He&alpha;:Helium Recombination Line:48.17322:He(51)&alpha;:Recomb
H&zeta;:Hydrogen Recombination Line:49.15586:H(90)&zeta;:Recomb
H&epsilon;:Hydrogen Recombination Line:49.16134:H(85)&epsilon;:Recomb
H&delta;:Hydrogen Recombination Line:49.55679:H(79)&delta;:Recomb
H&gamma;:Hydrogen Recombination Line:49.7267:H(72)&gamma;:Recomb
H&beta;:Hydrogen Recombination Line:50.19618:H(63)&beta;:Recomb
He&beta;:Helium Recombination Line:50.21664:He(63)&beta;:Recomb
