Frequency       Specific_Flux_Density
# Shifted to 64km/s   #mean in elliptical region shown in Corby et al. (2015), MNRAS
(MHz)	        (mJy_arcsec^{-2}) 

30136.50583832  -0.03713132 
30137.50605132  0.08507632 
30138.50626532  -0.01091932 
30139.50647832  -0.04246532 
30140.50669232  -0.04046232 
30141.50690532  -0.01879432 
30142.50711932  -0.02167732 
30143.50733232  0.04814532 
30144.50754632  -0.00277632 
30145.50775932  -0.03319632 
30146.50797332  -0.01442232 
30147.50818632  -0.05174732 
30148.50840032  -0.02962832 
30149.50861332  0.04779032 
30150.50882732  0.02171932 
30151.50708732  0.07212632 
30152.50730132  -0.04170732 
30153.50751432  0.09790132 
30154.50772832  0.09647132 
30155.50794132  0.00678132 
30156.50815532  -0.05364632 
30157.50836832  0.09018732 
30158.50858232  -0.03490732 
30159.50879532  -0.09130232 
30160.50900932  0.05444432 
30161.50922232  -0.00840932 
30162.50943632  -0.01656832 
30163.50964932  0.03708432 
30164.50986332  -0.07677132 
30165.51007632  -0.03938332 
30166.50833632  0.01218632 
30167.50855032  0.01220132 
30168.50876332  0.09065432 
30169.50897732  -0.02876032 
30170.50919032  0.03881232 
30171.50940432  0.00569532 
30172.50961832  -0.01288632 
30173.50983132  -0.05168432 
30174.51004532  0.05037332 
30175.51025832  0.04381232 
30176.51047232  -0.00712732 
30177.51068532  0.00641232 
30178.51089932  -0.05564432 
30179.51111232  -0.01669232 
30180.51132632  0.00840532 
30181.50958632  -0.08964232 
30182.50979932  0.01023532 
30183.51001332  -0.01667132 
30184.51022632  0.06044032 
30185.51044032  0.08349032 
30186.51065332  0.01532432 
30187.51086732  0.01892632 
30188.51108032  0.04502432 
30189.51129432  0.05297132 
30190.51150732  -0.01499432 
30191.51172132  -0.06570432 
30192.51193532  -0.06102532 
30193.51214832  0.02265032 
30194.51236232  -0.03405432 
30195.51257532  -0.11993332 
30196.51083532  -0.09382932 
30197.51104932  -0.09510832 
30198.51126232  -0.10124932 
30199.51147632  -0.09633132 
30200.51168932  -0.05581232 
30201.51190332  -0.02165732 
30202.51211632  -0.03362032 
30203.51233032  -0.04185532 
30204.51254332  -0.00198932 
30205.51275732  -0.10006432 
30206.51297032  -0.07692232 
30207.51318432  -0.06293832 
30208.51339732  0.02962332 
30209.51361132  0.00706032 
30210.51382432  0.09324332 
30211.51208432  0.06735532 
30212.51229832  0.03078532 
30213.51251132  0.10133332 
30214.51272532  0.08453132 
30215.51293932  0.18577332 
30216.51315232  0.10455532 
30217.51336632  0.10989232 
30218.51357932  0.10960332 
30219.51379332  0.02424232 
30220.51400632  -0.02226432 
30221.51422032  0.02902232 
30222.51443332  -0.03519332 
30223.51464732  0.01901832 
30224.51486032  0.00686932 
30225.51507432  0.09021232 
30226.51333432  0.00899232 
30227.51354732  -0.06268832 
30228.51376132  0.06389332 
30229.51397432  -0.08182332 
30230.51418832  -0.00266832 
30231.51440132  0.16041332 
30232.51461532  0.02003932 
30233.51482832  -0.02163732 
30234.51504232  0.04749132 
30235.51525632  0.04247932 
30236.51546932  -0.00215432 
30237.51568332  -0.11367632 
30238.51589632  -0.08829232 
30239.51611032  0.06956332 
30240.51632332  0.03935732 
30241.51458332  0.00915132 
30242.51479732  -0.03407932 
30243.51501032  0.02254632 
30244.51522432  -0.00391432 
30245.51543732  -0.12250632 
30246.51565132  -0.11598232 
30247.51586432  -0.02533332 
30248.51607832  -0.12247032 
30249.51629132  0.01398332 
30250.51650532  -0.03497632 
30251.51671832  0.06910732 
30252.51693232  -0.07220232 
30253.51714532  0.01180132 
30254.51735932  -0.03245332 
30255.51757332  -0.01458432 
30256.51583332  0.03029532 
30257.51604632  -0.01139132 
30258.51626032  0.02548732 
30259.51647332  0.03389632 
30260.51668732  0.03774732 
30261.51690032  0.00407732 
30262.51711432  0.04562832 
30263.51732732  0.04148832 
30264.51754132  -0.01984632 
30265.51775432  0.02927132 
30266.51796832  -0.08468132 
30267.51818132  -0.01303032 
30268.51839532  0.01241832 
30269.51860832  0.09172632 
30270.51882232  -0.03738632 
30271.51708232  -0.03495332 
30272.51729532  0.04214932 
30273.51750932  0.06531932 
30274.51772232  -0.04838732 
30275.51793632  0.01232032 
30276.51815032  0.04698332 
30277.51836332  -0.06580132 
30278.51857732  0.02726432 
30279.51879032  -0.04526932 
30280.51900432  -0.08508532 
30281.51921732  0.08385332 
30282.51943132  0.02255032 
30283.51964432  -0.15876832 
30284.51985832  -0.03594932 
30285.52007132  -0.01990932 
30286.51833132  0.01840232 
30287.51854532  0.02339232 
30288.51875832  0.02838132 
30289.51897232  0.03924232 
30290.51918532  0.05928232 
30291.51939932  0.12753732 
30292.51961232  -0.05687732 
30293.51982632  0.18295832 
30294.52003932  0.00838832 
30295.52025332  0.00575832 
30296.52046632  -0.01461732 
30297.52068032  0.01426232 
30298.52089432  -0.05987832 
30299.52110732  -0.01238532 
30300.52132132  -0.04204632 
30301.51958132  -0.02637532 
30302.51979432  0.00002032 
30303.52000832  0.03390832 
30304.52022132  -0.10999432 
30305.52043532  0.02371032 
30306.52064832  1.24857032 
30307.52086232  3.23936832 
30308.52107532  1.37738632 
30309.52128932  -0.01161932 
30310.52150232  0.06404632 
30311.52171632  -0.05450532 
30312.52192932  -0.01261032 
30313.52214332  0.05479732 
30314.52235632  0.00185932 
30315.52257032  0.06830832 
30316.52083032  0.03069232 
30317.52104332  0.04816132 
30318.52125732  -0.04442132 
30319.52147132  0.09404732 
30320.52168432  -0.12613332 
30321.52189832  0.02035832 
30322.52211132  -0.01700432 
30323.52232532  -0.02736732 
30324.52253832  -0.03186332 
30325.52275232  0.00962132 
30326.52296532  -0.11642732 
30327.52317932  -0.10655032 
30328.52339232  -0.06588232 
30329.52360632  -0.09632832 
30330.52381932  0.00759532 
30331.52207932  0.08456332 
30332.52229332  0.08181532 
30333.52250632  -0.06092632 
30334.52272032  -0.09269132 
30335.52293332  -0.05273632 
30336.52314732  -0.02176332 
30337.52336032  0.00020132 
30338.52357432  -0.06419432 
30339.52378832  0.04717132 
30340.52400132  0.07579832 
30341.52421532  0.03361432 
30342.52442832  -0.05355232 
30343.52464232  0.06184432 
30344.52485532  -0.06641832 
30345.52506932  -0.02443632 
30346.52332932  0.00814232 
30347.52354232  -0.04742832 
30348.52375632  0.04030732 
30349.52396932  0.02898632 
30350.52418332  -0.04037632 
30351.52439632  -0.01170132 
30352.52461032  0.07549032 
30353.52482332  0.01459632 
30354.52503732  0.00013332 
30355.52525032  0.07685232 
30356.52546432  0.02895432 
30357.52567732  -0.00583232 
30358.52589132  0.03167432 
30359.52610532  -0.01265432 
30360.52631832  -0.03628732 
30361.52457832  -0.02141432 
30362.52479232  0.04319632 
30363.52500532  -0.02304432 
30364.52521932  0.05929732 
30365.52543232  0.06852332 
30366.52564632  0.03345532 
30367.52585932  0.06149132 
30368.52607332  -0.00951632 
30369.52628632  -0.08052332 
30370.52650032  -0.02299732 
30371.52671332  0.00168132 
30372.52692732  0.05696932 
30373.52714032  0.02006532 
30374.52735432  0.00065632 
30375.52756732  0.03538032 
30376.52582732  -0.02670732 
30377.52604132  -0.03046032 
30378.52625432  -0.00369032 
30379.52646832  -0.03407432 
30380.52668132  0.04295032 
30381.52689532  0.05374232 
30382.52710932  0.02364732 
30383.52732232  -0.01221132 
30384.52753632  -0.08770232 
30385.52774932  -0.02886332 
30386.52796332  -0.05174632 
30387.52817632  0.04408132 
30388.52839032  -0.01713632 
30389.52860332  -0.07833832 
30390.52881732  -0.03603132 
30391.52707732  -0.00003132 
30392.52729032  0.00059332 
30393.52750432  0.00700932 
30394.52771732  0.11186532 
30395.52793132  0.00593232 
30396.52814432  -0.02423832 
30397.52835832  -0.07590432 
30398.52857132  -0.01476532 
30399.52878532  -0.08361032 
30400.52899832  0.01090832 
30401.52921232  0.05456432 
30402.52942632  0.03043432 
30403.52963932  -0.03953432 
30404.52985332  -0.08058432 
30405.53006632  0.00831532 
30406.52832632  -0.03454432 
30407.52854032  0.00403732 
30408.52875332  0.00643632 
30409.52896732  0.04233832 
30410.52918032  0.05658832 
30411.52939432  0.02254132 
30412.52960732  0.04165832 
30413.52982132  0.01369432 
30414.53003432  -0.01191832 
30415.53024832  0.01017332 
30416.53046132  0.03226332 
30417.53067532  -0.01154532 
30418.53088832  -0.08220532 
30419.53110232  -0.00434732 
30420.53131532  0.03606632 
30421.52957532  -0.03284632 
30422.52978932  -0.01402932 
30423.53000232  0.03435432 
30424.53021632  0.00841732 
30425.53043032  -0.01295832 
30426.53064332  0.06848632 
30427.53085732  -0.05142132 
30428.53107032  0.03793332 
30429.53128432  0.00537132 
30430.53149732  0.00590632 
30431.53171132  0.08508132 
30432.53192432  -0.08965932 
30433.53213832  0.06584332 
30434.53235132  -0.02742132 
30435.53256532  -0.01987832 
30436.53082532  -0.02619932 
30437.53103832  0.07251032 
30438.53125232  0.01969032 
30439.53146532  -0.00036332 
30440.53167932  0.00629332 
30441.53189232  0.08362032 
30442.53210632  0.06980832 
30443.53231932  -0.09935932 
30444.53253332  -0.12657532 
30445.53274732  0.10275432 
30446.53296032  -0.05838532 
30447.53317432  0.06095032 
30448.53338732  -0.02986832 
30449.53360132  -0.03339132 
30450.53381432  -0.00827132 
30451.53207432  0.02908932 
30452.53228832  -0.00055232 
30453.53250132  -0.08302932 
30454.53271532  -0.07664732 
30455.53292832  -0.00285032 
30456.53314232  0.03844732 
30457.53335532  -0.02261432 
30458.53356932  0.02572332 
30459.53378232  -0.03482132 
30460.53399632  -0.04342132 
30461.53420932  -0.07724332 
30462.53442332  0.07059032 
30463.53463632  -0.00945532 
30464.53485032  -0.03762132 
30465.53311032  -0.02182532 
30466.53332432  0.03966732 
30467.53353732  0.03164932 
30468.53375132  -0.05320332 
30469.53396432  -0.04346432 
30470.53417832  0.06598532 
30471.53439132  0.05985032 
30472.53460532  0.03375232 
30473.53481832  0.09808432 
30474.53503232  0.08298832 
30475.53524532  0.02899532 
30476.53545932  0.02382232 
30477.53567232  -0.05336532 
30478.53588632  0.00507532 
30479.53609932  -0.08750132 
30480.53435932  0.02036232 
30481.53457332  -0.01292832 
30482.53478632  0.03323932 
30483.53500032  0.01941932 
30484.53521332  0.05252332 
30485.53542732  0.00063332 
30486.53564132  0.02483232 
30487.53585432  -0.00867032 
30488.53606832  -0.02021832 
30489.53628132  -0.04532632 
30490.53649532  -0.01677132 
30491.53670832  -0.05974932 
30492.53692232  0.03379832 
30493.53713532  -0.07713232 
30494.53734932  0.04291232 
30495.53560932  0.02173932 
30496.53582232  0.14543232 
30497.53603632  0.26912732 
30498.53624932  0.52773032 
30499.53646332  0.66225732 
30500.53667632  0.52921032 
30501.53689032  0.31214032 
30502.53710332  0.01821632 
30503.53731732  0.05829432 
30504.53753032  0.04929832 
30505.53774432  0.15986832 
30506.53795732  0.01255032 
30507.53817132  0.04071132 
30508.53838532  -0.00611532 
30509.53859832  0.08568232 
30510.53685832  0.08136432 
30511.53707232  0.07273032 
30512.53728532  0.25230532 
30513.53749932  0.11620532 
30514.53771232  0.10353232 
30515.53792632  0.04268332 
30516.53813932  -0.05747332 
30517.53835332  -0.05344332 
30518.53856632  -0.05246932 
30519.53878032  -0.05853332 
30520.53899332  0.10991932 
30521.53920732  0.01675532 
30522.53942032  -0.00283132 
30523.53963432  -0.04635232 
30524.53984732  0.05470332 
30525.53810732  0.10472032 
30526.53832132  -0.12437432 
30527.53853432  0.04046232 
30528.53874832  0.05926632 
30529.53896232  0.03502732 
30530.53917532  0.01767332 
30531.53938932  0.00818332 
30532.53960232  -0.03998632 
30533.53981632  0.03065632 
30534.54002932  0.05785232 
30535.54024332  0.08610232 
30536.54045632  0.14856132 
30537.54067032  0.24421032 
30538.54088332  0.07032132 
30539.54109732  0.05922832 
30540.53935732  -0.09691632 
30541.53957032  -0.15115832 
30542.53978432  -0.05631132 
30543.53999732  -0.04354132 
30544.54021132  -0.03077032 
30545.54042432  -0.13550532 
30546.54063832  -0.02821732 
30547.54085132  -0.11566832 
30548.54106532  -0.06473332 
30549.54127932  -0.01028232 
30550.54149232  -0.02859332 
30551.54170632  0.07309632 
30552.54191932  -0.04224632 
30553.54213332  0.08835132 
30554.54234632  -0.03467732 
30555.54060632  0.09290132 
30556.54082032  -0.07020232 
30557.54103332  -0.08155632 
30558.54124732  0.07299732 
30559.54146032  0.11179732 
30560.54167432  -0.02776632 
30561.54188732  -0.03145432 
30562.54210132  -0.11376832 
30563.54231432  0.05624832 
30564.54252832  -0.04307732 
30565.54274132  0.03117932 
30566.54295532  0.07780132 
30567.54316832  0.10922832 
30568.54338232  0.05424632 
30569.54359532  0.04333232 
30570.54185532  -0.00640932 
30571.54206932  -0.03827832 
30572.54228332  -0.04964032 
30573.54249632  0.04549332 
30574.54271032  0.00127632 
30575.54292332  0.07188732 
30576.54313732  -0.04291632 
30577.54335032  -0.05971032 
30578.54356432  0.02192432 
30579.54377732  -0.04447832 
30580.54399132  0.00634232 
30581.54420432  -0.06360432 
30582.54441832  -0.03570232 
30583.54463132  0.08404032 
30584.54484532  0.02142132 
30585.54310532  0.01551832 
30586.54331832  0.04543132 
30587.54353232  -0.10689432 
30588.54374532  -0.06895932 
30589.54395932  0.00622432 
30590.54417232  0.02973232 
30591.54438632  -0.01225732 
30592.54460032  -0.01405032 
30593.54481332  -0.01511232 
30594.54502732  -0.06204332 
30595.54524032  0.00526932 
30596.54545432  0.01580932 
30597.54566732  0.04131132 
30598.54588132  -0.03471232 
30599.54609432  0.02865932 
30600.54435432  -0.02741132 
30601.54456832  -0.08347832 
30602.54478132  0.00367632 
30603.54499532  -0.00432232 
30604.54520832  0.05982832 
30605.54542232  0.84529432 
30606.54563532  0.17209832 
30607.54584932  0.10234332 
30608.54606232  -0.04338432 
30609.54627632  -0.10714832 
30610.54648932  -0.01003932 
30611.54670332  0.00504432 
30612.54691732  0.01540132 
30613.54713032  0.02592532 
30614.54734432  -0.04065132 
30615.54560432  -0.02597732 
30616.54581732  -0.05291132 
30617.54603132  -0.03187932 
30618.54624432  -0.04964332 
30619.54645832  0.03210132 
30620.54667132  0.02099632 
30621.54688532  0.01854232 
30622.54709832  -0.02029632 
30623.54731232  -0.03387032 
30624.54752532  -0.03250532 
30625.54773932  -0.03113932 
30626.54795232  -0.00410832 
30627.54816632  -0.05104432 
30628.54837932  0.02234932 
30629.54859332  0.08358632 
30630.54685332  -0.08665032 
30631.54706632  0.01259932 
30632.54728032  -0.01084332 
30633.54749332  -0.02878732 
30634.54770732  -0.06545832 
30635.54792132  0.04411232 
30636.54813432  0.08047932 
30637.54834832  0.02020832 
30638.54856132  -0.12598332 
30639.54877532  0.12098732 
30640.54898832  0.03018732 
30641.54920232  -0.03879732 
30642.54941532  0.78815732 
30643.54962932  0.37038632 
30644.54984232  0.06601932 
30645.54810232  0.00525732 
30646.54831632  -0.12742432 
30647.54852932  -0.05752332 
30648.54874332  0.07008932 
30649.54895632  -0.01215232 
30650.54917032  -0.02154532 
30651.54938332  -0.01246232 
30652.54959732  -0.03434432 
30653.54981032  0.05518532 
30654.55002432  -0.04911432 
30655.55023832  0.09856532 
30656.55045132  -0.02315932 
30657.55066532  0.04904032 
30658.55087832  0.05189432 
30659.55109232  0.04177332 
30660.54935232  0.00598932 
30661.54956532  0.01482132 
30662.54977932  0.00836832 
30663.54999232  0.02612632 
30664.55020632  0.03847032 
30665.55041932  0.02528432 
30666.55063332  -0.01359432 
30667.55084632  -0.05445332 
30668.55106032  0.08918532 
30669.55127332  0.04841932 
30670.55148732  0.21392532 
30671.55170032  0.05659432 
30672.55191432  0.03065032 
30673.55212732  -0.09554132 
30674.55234132  0.03773332 
30675.55060132  -0.08838332 
30676.55081532  0.04758332 
30677.55102832  0.20685432 
30678.55124232  -0.05394732 
30679.55145532  0.03301832 
30680.55166932  -0.02502132 
30681.55188232  -0.06750032 
30682.55209632  0.01083932 
30683.55230932  -0.01858532 
30684.55252332  -0.01664732 
30685.55273632  -0.00277732 
30686.55295032  -0.08410332 
30687.55316332  0.02524432 
30688.55337732  -0.01980532 
30689.55359032  -0.09508132 
30690.55185032  0.03473332 
30691.55206432  -0.10444532 
30692.55227732  -0.11990632 
30693.55249132  0.06283432 
30694.55270432  0.01905932 
30695.55291832  -0.00506432 
30696.55313232  0.00136732 
30697.55334532  -0.16662132 
30698.55355932  -0.01026732 
30699.55377232  -0.00493032 
30700.55398632  -0.03080232 
30701.55419932  -0.09689532 
30702.55441332  -0.10570432 
30703.55462632  0.09753232 
30704.55484032  -0.03222932 
30705.55310032  0.08401032 
30706.55331332  0.23373432 
30707.55352732  0.13930932 
30708.55374032  0.09687132 
30709.55395432  0.01008832 
30710.55416732  0.00880532 
30711.55438132  -0.09724632 
30712.55459432  -0.06018032 
30713.55480832  0.03884932 
30714.55502132  -0.01842432 
30715.55523532  0.05998532 
30716.55544832  -0.00611632 
30717.55566232  0.15084732 
30718.55587632  0.01419732 
30719.55608932  0.07568432 
30720.55434932  0.12118832 
30721.55456332  0.01862732 
30722.55477632  0.08773532 
30723.55499032  0.11605232 
30724.55520332  0.01243832 
30725.55541732  0.04269732 
30726.55563032  0.08868232 
30727.55584432  -0.03471132 
30728.55605732  0.12349732 
30729.55627132  0.03194432 
30730.55648432  0.02290632 
30731.55669832  0.02215732 
30732.55691132  0.10496432 
30733.55712532  -0.04112032 
30734.55733832  -0.03242632 
30735.55559832  0.10344632 
30736.55581232  -0.04944732 
30737.55602532  -0.09107732 
30738.55623932  0.00078432 
30739.55645332  0.01506132 
30740.55666632  -0.08140632 
30741.55688032  -0.02972232 
30742.55709332  -0.10790232 
30743.55730732  -0.10029232 
30744.55752032  -0.06872632 
30745.55773432  -0.16816332 
30746.55794732  -0.05984532 
30747.55816132  -0.12023932 
30748.55837432  0.00605832 
30749.55858832  -0.04207532 
30750.55684832  0.20623032 
30751.55706132  0.96681132 
30752.55727532  0.51352632 
30753.55748832  0.06024132 
30754.55770232  0.02626832 
30755.55791532  0.06404232 
30756.55812932  -0.10822232 
30757.55834232  0.04766332 
30758.55855632  -0.02801132 
30759.55877032  0.06434332 
30760.55898332  0.11286732 
30761.55919732  0.01043932 
30762.55941032  0.01686132 
30763.55962432  -0.02538832 
30764.55983732  0.14750532 
30765.55809732  0.05425632 
30766.55831132  -0.06750032 
30767.55852432  0.03634632 
30768.55873832  0.06712332 
