sid[0] is nullSpecies:Chemical Name:Freq-GHz:Resolved<br>QNs:Lovas/AST<br>Intensity:Linelist
CH2CN:Cyanomethyl:40.25984:2(0,2)-1(0,1),J=3/2-3/2,F1=3/2-5/2,F=3/2-5/2:0.01:Lovas
CH2CN:Cyanomethyl:40.26024:2(0,2)-1(0,1),J=3/2-1/2,F1=1/2-1/2,F=1/2-3/2:0.02:Lovas
HCS:Thioxomethyl:40.2821:1(0,1)-0(0,0)::CDMS
Si18Ov=0:Silicon Monoxide:40.35277:1-0:0.15:Lovas
H2CCO:Ketene:40.41795:2(0,2)-1(0,1):0.08:Lovas
CCCS:3-Thioxo-1,2-Propadieylidene:40.46501:7-6:0.88:Lovas
CH2CN:Cyanomethyl:40.6586:2(0,2)-1(0,1),J=5/2-3/2:0.03:CDMS
HCNv2=1:Hydrogen Cyanide:40.76689:J=13-13,l=1f:0.11:Lovas
H2CCO:Ketene:40.79384:2(1,1)-1(1,0):0.11:Lovas
NH2CHO:Formamide:40.87544:2(1,2)-1(1,1)::SLAIM
NH2CHO:Formamide:40.875441:2(1,2)-1(1,1)::SLAIM
CH3OCHOv=0:Methyl Formate:41.05515:8(6,3)-9(5,5)E::JPL
CH3OCHOv=0:Methyl Formate:41.11275:8(6,2)-9(5,4)E::JPL
CH3OCHOv=0:Methyl Formate:41.11357:8(6,3)-9(5,4)A::JPL
CH3OCHOv=0:Methyl Formate:41.11897:10(2,8)-10(2,9)E::JPL
t-CH3CH2OH:trans-Ethanol:41.12495:6(1,5)-6(0,6)::SLAIM
CH3OCHOv=0:Methyl Formate:41.1274:8(6,2)-9(5,5)A::JPL
CH3OCHOv=0:Methyl Formate:41.15073:10(2,8)-10(2,9)A::JPL
SO2v=0:Sulfur dioxide:41.17746:36(8,28)-37(7,31):-5.6919:
l-H2CCC:Propadienylidene:41.19832:2(1,2)-1(1,1):0.17:Lovas
CH3CHOv=0:Acetaldehyde:41.21216:2(1,1)-1(1,1)E::JPL
C6H&#150;:1,3,5-Hexatriynyl anion:41.30545:15-14:0.025:Lovas
CH3C3N:2-Butynenitrile:41.314:10(1)-9(1):0.08:Lovas
CH3C3N:2-Butynenitrile:41.31439:10(0)-9(0):0.09:Lovas
CNCHO:Cyanoformaldehyde:41.34222:10(0,10)-9(1,9):0.013:Lovas
H2CCNH:Ketenimine:41.52384:7(1,6)-8(0,8),F=7-8:  b:Lovas
H2CCNH:Ketenimine:41.5244:7(1,6)-8(0,8),F=8-9:-0.59f:Lovas
H2CCNH:Ketenimine:41.52448:7(1,6)-8(0,8),F=6-7:  b:Lovas
HC7Nv=0:2,4,6-Heptatriynenitrile:41.73527:J=37-36:0.085:Lovas
c-H2C3O:Cyclopropenone:42.03194:3(0,3)-2(0,2):-0.035:CDMS
c-HCCCH :Cyclopropenylidene:42.13919:5(4,1)-5(3,2)::CDMS
c-H2C3O:Cyclopropenone:42.31619:3(2,2)-2(2,1):-0.018:CDMS
NH213CHO:Formamide:42.318178:2(0,2)-1(0,1)::SLAIM
30SiOv=0:Silicon Monoxide:42.37334:1-0:28. e:Lovas
NH2CHO:Formamide:42.386059:2(0,2)-1(0,1):0:SLAIM
NH2CHO:Formamide:42.38606:2(0,2)-1(0,1)::SLAIM
SiOv=3:Silicon Monoxide:42.51937:1-0:2:Lovas
c-H2C3O:Cyclopropenone:42.60125:3(2,1)-2(2,0)::CDMS
HC5Nv=0:Cyanobutadiyne:42.60215:J=16-15:0.4:Lovas
HCS+:Thioformylium:42.67419:1-0:0.085:Lovas
SO2v=0:Sulfur dioxide:42.68007:41(7,35)-40(8,32):-5.8126:
HOCO+:Protonated Carbon Dioxide:42.76618:2(0,2)-1(0,1):0.2:Lovas
SiOv=2:Silicon Monoxide:42.82057:1-0:15.i:Lovas
NH3v=0:Ammonia:42.83992:17(17)0a-17(17)0s::
HC7Nv=0:2,4,6-Heptatriynenitrile:42.86321:J=38-37:0.086:Lovas
29SiOv=0:Silicon Monoxide:42.87994:1-0: 3.1e:Lovas
C6H:1,3,5-Hexatriynyl:42.97043:J=31/2-29/2,&Omega;=3/2,l=e:0.108:Lovas
SO2v=0:Sulfur dioxide:43.01628:19(2,18)-18(3,15):-5.2597:
t-CH3CH2OH:trans-Ethanol:43.0266:1(1,1)-0(0,0)::SLAIM
NH2CHO:Formamide:43.02811:7(1,6)-7(1,7)::SLAIM
NH2D:Ammonia:43.04225:3(1,3)0a-3(0,3)0s:0:
SiOv=1:Silicon Monoxide:43.12209:1-0:29.i:Lovas
SO2v=0:Sulfur dioxide:43.17817:23(2,22)-22(3,19):-5.5018:
C6H:1,3,5-Hexatriynyl:43.26244:J=31/2-29/2,&Omega;=1/2,l=e:0.028:Lovas
NH2CHO:Formamide:43.28069:5(2,4)-6(1,5)::SLAIM
HC3NH+:Protonate 2-proynenitrile:43.28981:J=5-4:0.048:Lovas
t-HCOOH :Formic Acid:43.30371:2(1,2)-1(1,1)::CDMS
SiOv=0:Silicon Monoxide:43.42385:1-0:0.5:Lovas
CH3OCH3:Dimethyl ether:43.44647:6(1,5)-6(0,6)AE::SLAIM
CH3OCH3:Dimethyl ether:43.44647:6(1,5)-6(0,6)EA::SLAIM
CH3OCH3:Dimethyl ether:43.44757:6(1,5)-6(0,6)EE::SLAIM
CH3OCH3:Dimethyl ether:43.44867:6(1,5)-6(0,6)AA::SLAIM
CH3CH2CNv=0:Ethyl Cyanide:43.51619:5(1,5)-4(1,4): 1.2e:Lovas
CH3OCHOv=0:Methyl Formate:43.52804:7(1,6)-7(1,7)E::JPL
CH3OCHOv=0:Methyl Formate:43.55647:7(1,6)-7(1,7)A::JPL
CH3OCHOv=0:Methyl Formate:43.82919:9(2,7)-9(1,8)E::JPL
CH3OCHOv=0:Methyl Formate:43.85132:9(2,7)-9(1,8)A::JPL
SiN:SiN:43.90151:N=1-0 J= 3/2 – ½, F = 5/2 – 3/2::CDMS
NH2CHO:Formamide:43.95445:2(1,1)-1(1,0)::SLAIM
NH2CHO:Formamide:43.954454:2(1,1)-1(1,0):0:SLAIM
HNCOv=0:Isocyanic Acid:43.96201:2(0,2)-1(0,1),F=1-1:0.05:Lovas
HNCOv=0:Isocyanic Acid:43.963:2(0,2)-1(0,1),F=3-2:<1b:Lovas
HNCOv=0:Isocyanic Acid:43.96304:2(0,2)-1(0,1),F=2-1:  b:Lovas
HNCOv=0:Isocyanic Acid:43.96366:2(0,2)-1(0,1),F=1-0,2-2:0.07:Lovas
CCS:Thioxoethenylidene:43.98102:3,4-2,3:0.38:Lovas
CH3OCHOv=0:Methyl Formate:43.99555:2(2,1)-2(1,2)E::JPL
CH3OCHOv=0:Methyl Formate:44.04284:2(2,1)-2(1,2)A::JPL
SO2v=0:Sulfur dioxide:44.05286:6(2,4)-7(1,7):-5.4028:
CH3OHvt=0:Methanol:44.06948:7(0,7)-6(1,6)++:3.9:Lovas
H13CCCNv=0:Cyanoacetylene:44.08417:J=5-4:0.066:Lovas
c-HCCCHv=0:Cyclopropenylidene:44.10478:3(2,1)-3(1,2):0.025:Lovas
HCCC15Nv=0:Cyanoacetylene:44.16727:5-4:0.08:Lovas
CH3OCHOv=0:Methyl Formate:44.19848:2(2,0)-2(1,2)E::JPL
CH3OCHOv=0:Methyl Formate:44.20282:8(2,6)-7(3,5)A::JPL
CH3OCHOv=0:Methyl Formate:44.21079:8(2,6)-7(3,5)E::JPL
l-C4H2:Butatrienylidene:44.47114:5(1,5)-4(1,4):0.018:Lovas
CC34S:Thioxoethenylidene:44.4976:N=3-2,J=4-3::JPL
UnidentifiedTransition:UNIDENTIFIED:44.5077:U-44507.7:0.06:Lovas
c-H2C3O:Cyclopropenone:44.5874:3(1,2)-2(1,1):-0.06:Lovas
c-H2C3O:Cyclopropenone:44.5874:3(1,2)-2(1,1):-0.06:CDMS
CH3CH2CNv=0:Ethyl Cyanide:44.59699:5(0,5)-4(0,4):0.31:Lovas
CH3CH2CNv=0:Ethyl Cyanide:44.73027:5(2,4)-4(2,3):0.23:Lovas
CH3CH2CNv=0:Ethyl Cyanide:44.76891:5(4,2)-4(4,1):0:CDMS
CH3CH2CNv=0:Ethyl Cyanide:44.77387:5(3,3)-4(3,2):0:CDMS
CH3C4H:Methyl diacetylene:44.78554:11(1)-10(1):0.04:Lovas
CH3C4H:Methyl diacetylene:44.78593:11(0)-10(0):0.05:Lovas
CH3CH2CNv=0:Ethyl Cyanide:44.8781:5(2,3)-4(2,2):0.3:Lovas
t-HCOOH:Formic Acid:44.91175:2(0,2)-1(0,1):0.044:Lovas
CH3OHvt=1:Methanol:44.95578:2(0,2)-3(1,3):0.85:Lovas
l-C3H+ :Propynylidynium:44.97954:(2-1)::CDMS
CH3CHOv=0:Acetaldehyde:45.07824:2(1,2)-2(0,2)E::JPL
c-H13CCCH:Cyclopropenylidene:45.10387:2(1,1)-2(0,2):0.09:Lovas
NaCN/NaNC:Sodium Cyanide:45.25908:3(1,3)-2(1,2):0.02:Lovas
NaCN/NaNC:Sodium Cyanide:45.25908:3(1,3)-2(1,2):208.85478:SLAIM
HC5Nv=0:Cyanobutadiyne:45.26472:J=17-16:0.83:Lovas
HC13CCNv=0:Cyanoacetylene:45.29735:J=5-4:0.22:Lovas
HCC13CNv=0:Cyanoacetylene:45.30171:J=5-4:0.34:Lovas
l-C5H:2,4-Pentadiynylidyne:45.35505:J=19/2-17/2,&Omega;=1/2,F=9-8,l=f:b:Lovas
CCS:Thioxoethenylidene:45.37903:4,3-3,2:2.23:Lovas
CH3OCHOv=0:Methyl Formate:45.39579:4(1,4)-3(1,3)E::JPL
CH3OCHOv=0:Methyl Formate:45.39738:4(1,4)-3(1,3)A::JPL
HC3Nv=0:Cyanoacetylene:45.490314:J=5-4:  b:Lovas
g'Ga-(CH2OH)2:Ethylene Glycol:45.54764:4(1,4)v=1-3(1,3)v=0:-5.6054:CDMS
HC3Nv6=1:Cyanoacetylene:45.56496:J=5-4,l=1e: 1.1f:Lovas
HC3Nv6=1:Cyanoacetylene:45.60079:J=5-4,l=1f:  b:Lovas
HC3Nv7=1:Cyanoacetylene:45.60217:J=5-4,l=1e: 7.1bf:Lovas
HC3Nv7=1:Cyanoacetylene:45.66755:J=5-4,l=1f: 5.7f:Lovas
HC3Nv6=1,v7=1:Cyanoacetylene:45.72713:J=5-4,l=0+:  b:Lovas
HC3Nv6=1,v7=1:Cyanoacetylene:45.72749:J=5-4,l=0-:  b:Lovas
HC3Nv6=1,v7=1:Cyanoacetylene:45.7294:J=5-4,l=2-:  b:Lovas
HC3Nv6=1,v7=1:Cyanoacetylene:45.72948:J=5-4,l=2+: 4.7bf:Lovas
CH3OCHOv=0:Methyl Formate:45.75404:3(1,3)-2(0,2)E::JPL
CH3OCHOv=0:Methyl Formate:45.7587:3(1,3)-2(0,2)A::JPL
HC3Nv7=2:Cyanoacetylene:45.77889:J=5-4,l=2e:  b:Lovas
HC3Nv7=2:Cyanoacetylene:45.77907:J=5-4,l=0: 4.5bf:Lovas
HC3Nv7=2:Cyanoacetylene:45.7792:J=5-4,l=2f:  b:Lovas
HSCN a-type:thiocyanic Acid:45.87781:4(0,4)-3(0,3)::CDMS
CH3CHOv=0:Acetaldehyde:45.89733:1(1,1)-1(0,1)E::JPL
CH3CH2CNv=0:Ethyl Cyanide:45.909512:5(1,4)-4(1,3)::CDMS
CH3OCHOv=0:Methyl Formate:45.98933:7(1,6)-7(0,7)E::JPL
CH3OCHOv=0:Methyl Formate:46.01708:7(1,6)-7(0,7)A::JPL
C6H:1,3,5-Hexatriynyl:46.05411:J=33/2-31/2,&Omega;=1/2,l=f:0.029:Lovas
NH3v=0:Ammonia:46.1227:18(18)0a-18(-18)0s::
NH3v=0:Ammonia:46.1233:18(18)0a-18(18)0s:0.8:Lovas
13CSv=0:Carbon Monosulfide:46.24756:1-0:0.148:Lovas
CH2CHCNv=0:Vinyl Cyanide:46.26693:5(1,5)-4(1,4):0.1:Lovas
CH3OCHOv=0:Methyl Formate:46.51729:3(2,2)-3(1,3)E::JPL
CH3OCHOv=0:Methyl Formate:46.54221:3(2,2)-3(1,3)A::JPL
CH3OCHOv=0:Methyl Formate:46.55414:11(4,8)-12(2,11)A::JPL
CH3OCHOv=0:Methyl Formate:46.57983:6(1,5)-5(2,4)E::JPL
CH3OCHOv=0:Methyl Formate:46.58028:6(1,5)-5(2,4)A::JPL
t-HCOOH:Formic Acid:46.58123:2(1,1)-1(1,0)::CDMS
c-HCCCH :Cyclopropenylidene:46.64505:5(5,0)-5(4,1)::CDMS
HNCCC:3-Imino-1,2 Propadienylidene:46.68309:5-4:0.3:Lovas
c-HCCCHv=0:Cyclopropenylidene:46.75561:2(1,1)-2(0,2):1:Lovas
t-CH3CH2OH:trans-Ethanol:46.8328:4(0,4)-3(1,3)::SLAIM
NaCN/NaNC:Sodium Cyanide:46.84773:3(0,3)-2(0,2):0.02:Lovas
NaCN/NaNC:Sodium Cyanide:46.84773:3(0,3)-2(0,2):234.91267:SLAIM
NaCN/NaNC:Sodium Cyanide:46.90065:3(2,2)-2(2,1):130.54011:SLAIM
NaCN/NaNC:Sodium Cyanide:46.97234:3(2,1)-2(2,0):130.54011:SLAIM
PN:Phosphorous Nitride:46.989017:N = 1-0, J=1-1::CDMS
PN:Phosphorous Nitride:46.990544:N = 1-0, J=2-1::CDMS
HCNv2=1:Hydrogen Cyanide:47.02317:J=14-14,l=1f:0.11:Lovas
SiC2v=0:Silicon Carbide:47.06481:2(0,2)-1(0,1):0.233:Lovas
E-CH3CHNH:Ethanimine:47.176006:3(1,2)-3(0,3) E::
CH3CH2CHO:Propanol:47.1951:4(1,4)-3(0,3)::
13CH3OH:Methanol:47.20521:1(0,1)-0(0,0)++::CDMS
13CH3OH:Methanol:47.20955:1(0,1)-0(0,0)::CDMS
g'Ga-(CH2OH)2:Ethylene Glycol:47.21741:4(0,4)v=1-3(0,3)v=0:-5.439:CDMS
E-CH3CHNH:Ethanimine:47.249906:3(1,2)-3(0,3) A::
CH2CHCNv=0:Vinyl Cyanide:47.35465:5(0,5)-4(0,4):0.18:Lovas
CH3CONH2:Acetamide:47.37332:4(2,3)-3(3,1)E:0.002:Lovas
HC7Nv=0:2,4,6-Heptatriynenitrile:47.37491:J=42-41:0.078:Lovas
CH2CHCNv=0:Vinyl Cyanide:47.41979:5(2,4)-4(2,3)::JPL
HC13CCCCN:Cyanobutadiyne:47.43613:18-17:0.022:Lovas
CH2CHCNv=0:Vinyl Cyanide:47.44353:5(3,3)-4(3,2)::JPL
CH2CHCNv=0:Vinyl Cyanide:47.48923:5(2,3)-4(2,2)::JPL
CH3OCHOv=0:Methyl Formate:47.53407:4(0,4)-3(0,3)E:0.25:Lovas
CH3OCHOv=0:Methyl Formate:47.53409:4(0,4)-3(0,3)E::JPL
CH3OCHOv=0:Methyl Formate:47.53692:4(0,4)-3(0,3)A::JPL
CH3OCHOv=0:Methyl Formate:47.53694:4(0,4)-3(0,3)A:0.23:Lovas
c-H2COCH2:Ethylene Oxide:47.55693:5(5,0)-5(4,1):0.12:Lovas
C4Hv=0:1,3-Butadiynyl radical:47.5668:N=5-4,J=11/2-9/2:0.1:Lovas
C4Hv=0:1,3-Butadiynyl radical:47.59599:N=5-4,J=9/2-9/2,F=4-4:0.06:Lovas
C4Hv=0:1,3-Butadiynyl radical:47.60549:N=5-4,J=9/2-7/2:0.09:Lovas
CH3CHOv=0:Acetaldehyde:47.60581:9(1,8)-9(1,9)E::JPL
HC9N:2,4,6,8-Nonatetraynenitrile:47.64311:82-81:0.02:Lovas
SO2v=0:Sulfur dioxide:47.66062:31(5,27)-30(6,24):0.08:Lovas
CH3OCH3:Dimethyl ether:47.67404:1(1,1)-0(0,0)EA::SLAIM
CH3OCH3:Dimethyl ether:47.67406:1(1,1)-0(0,0)AE::SLAIM
CH3OCH3:Dimethyl ether:47.67496:1(1,1)-0(0,0)EE:0.09:Lovas
CH3OCH3:Dimethyl ether:47.67496:1(1,1)-0(0,0)EE:0.09:SLAIM
CH3OCH3:Dimethyl ether:47.67587:1(1,1)-0(0,0)AA::SLAIM
MgNCv=0:Magnesium Isocyanide:47.72648:N=4-3,J=7/2-5/2:0.03:Lovas
CH3CHOv=0:Acetaldehyde:47.73114:9(1,8)-9(1,9)A::JPL
CH3CHOv=0:Acetaldehyde:47.74697:1(1,0)-1(0,1)E::JPL
CH3CHOv=0:Acetaldehyde:47.74698:1(1,0)-1(0,1)E:0.06:Lovas
CH3OCH3:Dimethyl ether:47.79359:9(1,9)-8(2,6)AA::SLAIM
CH3OCH3:Dimethyl ether:47.7963:9(1,9)-8(2,6)EE::SLAIM
CH3OCH3:Dimethyl ether:47.79899:9(1,9)-8(2,6)EA::SLAIM
CH3OCH3:Dimethyl ether:47.799:9(1,9)-8(2,6)AE::SLAIM
CH3CHOv=0:Acetaldehyde:47.820668:1(1,0)-1(0,1)A:0.06:JPL
HNCHCN:cyanomethanimine:47.824964:5(0,5)-4(0,4)::
SO2v=0:Sulfur dioxide:47.91343:14(2,12)-13(3,11):1.15:Lovas
HC5Nv=0:Cyanobutadiyne:47.92728:J=18-17:1.5:Lovas
SO2v=0:Sulfur dioxide:48.12044:21(2,20)-20(3,17):0.39:Lovas
CH3OHvt=2:Methanol:48.17833:1(0,1)-0(0,0)Evt=2:0.03:Lovas
CH3OHvt=2:Methanol:48.19212:1(0,1)-0(0,0)A+vt=2:0.06:Lovas
C34Sv=0:Carbon Monosulfide:48.20694:1-0:0.38:Lovas
CH3OHvt=1:Methanol:48.24757:1(0,1)-0(0,0):0.23:Lovas
CH3OHvt=1:Methanol:48.2573:1(0,1)-0(0,0)++:0.09:Lovas
H2CO:Formaldehyde:48.28452:4(1,3)-4(1,4):0.63:Lovas
CH3OHvt=0:Methanol:48.37246:1(0,1)-0(0,0)++:0.44:Lovas
CH3OHvt=0:Methanol:48.37689:1(0,1)-0(0,0):0.29:Lovas
C6H?:1,3,5-Hexatriynyl:48.52304:J=35/2-33/2,&Omega;=3/2,l=d:0.066:Lovas
NaCN/NaNC:Sodium Cyanide:48.54822:3(1,2)-2(1,1):0.025:Lovas
NaCN/NaNC:Sodium Cyanide:48.54822:3(1,2)-2(1,1):208.85478:SLAIM
CH2CHCNv=0:Vinyl Cyanide:48.55256:5(1,4)-4(1,3):0.07:Lovas
C33Sv=0:Carbon Monosulfide  :48.58329:J=1-0,F=1/2-3/2:  b:Lovas
C33Sv=0:Carbon Monosulfide  :48.58592:J=1-0,F=5/2-3/2:<0.12b:Lovas
C33Sv=0:Carbon Monosulfide  :48.58907:J=1-0,F=3/2-3/2:  b:Lovas
UnidentifiedTransition:UNIDENTIFIED:48.5934:U-48593.4:0.027:Lovas
UnidentifiedTransition:UNIDENTIFIED:48.6022:U-48602.2:0.023:Lovas
CH3CHOv=0:Acetaldehyde:48.60347:2(1,1)-2(0,2)E::JPL
OCSv=0:Carbonyl Sulfide:48.6516:4-3:0.45:Lovas
CH3OCHOv=0:Methyl Formate:48.76702:4(2,3)-3(2,2)A::JPL
CH3OCHOv=0:Methyl Formate:48.7683:4(2,3)-3(2,2)E::JPL
NH2CHO:Formamide:48.81087:7(2,5)-8(1,8)::SLAIM
CH3OCH3:Dimethyl ether:48.90027:7(1,6)-7(0,7)AE::SLAIM
CH3OCH3:Dimethyl ether:48.90027:7(1,6)-7(0,7)EA::SLAIM
CH3OCH3:Dimethyl ether:48.90145:7(1,6)-7(0,7)EE::SLAIM
CH3OCH3:Dimethyl ether:48.90262:7(1,6)-7(0,7)AA::SLAIM
CH3CHOv=0:Acetaldehyde:48.90283:2(1,1)-2(0,2)A::JPL
CH3OCHOv=0:Methyl Formate:48.93587:4(3,2)-3(3,0)E::JPL
CSv=0:Carbon Monosulfide:48.99095:1-0:3.53:Lovas
CH3OCHOv=0:Methyl Formate:49.13463:4(3,2)-3(3,1)A::JPL
CH3OCHOv=0:Methyl Formate:49.15162:4(3,2)-3(3,1)E::JPL
CH3OCHOv=0:Methyl Formate:49.15529:4(3,1)-3(3,0)E::JPL
CH3OCHOv=0:Methyl Formate:49.1801:4(3,1)-3(3,0)A::JPL
CH3OCHOv=0:Methyl Formate:49.37104:4(3,1)-3(3,1)E::JPL
CH3OCH3:Dimethyl ether:49.46111:4(0,4)-3(1,3)AA::SLAIM
CH3OCH3:Dimethyl ether:49.46185:4(0,4)-3(1,3)EE::SLAIM
CH3OCH3:Dimethyl ether:49.46259:4(0,4)-3(1,3)AE::SLAIM
CH3OCH3:Dimethyl ether:49.4626:4(0,4)-3(1,3)EA::SLAIM
CCCNv=0:Cyanoethynyl:49.46641:N=5-4,J=11/2-9/2,F=11/2-9/2:  b:Lovas
CCCNv=0:Cyanoethynyl:49.46641:N=5-4,J=11/2-9/2,F=9/2-7/2:  b:Lovas
CCCNv=0:Cyanoethynyl:49.46646:N=5-4,J=11/2-9/2,F=13/2-11/2: 0.19b:Lovas
CCCNv=0:Cyanoethynyl:49.4852:N=5-4,J=9/2-7/2,F=7/2-5/2:  b:Lovas
CCCNv=0:Cyanoethynyl:49.48525:N=5-4,J=9/2-7/2,F=11/2-9/2: 0.18b:Lovas
CCCNv=0:Cyanoethynyl:49.48525:N=5-4,J=9/2-7/2,F=9/2-7/2:  b:Lovas
UnidentifiedTransition:UNIDENTIFIED:49.53587:U-49535.87:0.07:Lovas
HC7Nv=0:2,4,6-Heptatriynenitrile:49.63073:J=44-43:0.082:Lovas
UnidentifiedTransition:UNIDENTIFIED:49.64386:U-49643.86:0.06:Lovas
NH3v=0:Ammonia:49.83964:19(19)0a-19(19)0s::JPL
C8H:1,3,5,7-Octatetraynyl:49.86523:J=85/2-83/2,&Omega;=3/2,l=e: 0.29f:Lovas
C8H:1,3,5,7-Octatetraynyl:49.8662:J=85/2-83/2,&Omega;=3/2,l=f:  b:Lovas
CH3OCHOv=0:Methyl Formate:49.88969:4(2,3)-4(1,4)E::JPL
CH3OCHOv=0:Methyl Formate:49.91181:4(2,3)-4(1,4)A::JPL
UnidentifiedTransition:UNIDENTIFIED:49.95811:U-49958.11:0.1:Lovas
NH2D:Ammonia:49.96284:2(1,2)0s-2(0,2)0a:0:
CH2CHCNv=0:Vinyl Cyanide:50.09991:6(1,5)-6(0,6) ::JPL
CH3CHOv=0:Acetaldehyde:50.1754088:3(1,2)-3(0,3)E:-5.8413:JPL
